Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10
227,38,38,38,38,38,38,38,38,38,38
228,38,38,38,38,38,38,38,38,38,38
229,38,38,38,38,38,38,38,38,38,38
230,38,38,38,38,38,38,38,38,38,38
231,38,38,38,38,38,38,38,38,38,38
232,38,38,38,38,38,38,38,38,38,38
233,38,38,38,38,38,38,38,38,38,38
234,38,38,38,38,38,38,38,38,38,38
235,38,38,38,38,38,38,38,38,38,38
236,38,38,38,38,38,38,38,38,38,38
237,38,38,38,38,38,38,38,38,38,38
238,38,38,38,38,38,38,38,38,38,38
239,38,38,38,38,38,38,38,38,38,38
240,38,38,38,38,38,38,38,38,38,38
241,38,38,38,38,38,38,38,38,38,38
242,38,38,38,38,38,38,38,38,38,38
243,38,38,38,38,38,38,38,38,38,38
244,38,38,38,38,38,38,38,38,38,38
245,38,38,38,38,38,38,38,38,38,38
246,38,38,38,38,38,38,38,38,38,38
247,38,38,38,38,38,38,38,38,38,38
248,38,38,38,38,38,38,38,38,38,38
249,38,38,38,38,38,38,38,38,38,38
250,38,38,38,38,38,38,38,38,38,38
251,38,38,38,38,38,38,38,38,38,38
252,38,38,38,38,38,38,38,38,38,38
253,38,38,38,38,38,38,38,38,38,38
254,38,38,38,38,38,38,38,38,38,38
255,38,38,38,38,38,38,38,38,38,38
256,38,38,38,38,38,38,38,38,38,38
257,38,38,38,38,38,38,38,38,38,38
258,38,38,38,38,38,38,38,38,38,38
259,38,38,38,38,38,38,38,38,38,38
260,38,38,38,38,38,38,38,38,38,38
261,38,38,38,38,38,38,38,38,38,38
262,38,38,38,38,38,38,38,38,38,38
263,38,38,38,38,38,38,38,38,38,38
264,38,38,38,38,38,38,38,38,38,38
265,38,38,38,38,38,38,38,38,38,38
266,38,38,38,38,38,38,38,38,38,38
267,38,38,38,38,38,38,38,38,38,38
